date,away_team,home_team,algo_proj,away_proj,home_proj,away_odds,home_odds,diff_away,diff_home,strat_1_bet,strat_1_to_win,strat_1_won,strat_2_bet,strat_2_to_win,strat_2_won,strat_3_bet,strat_3_to_win,strat_3_won,strat_4_bet,strat_4_to_win,strat_4_won
7/8/2016,Chicago-Cubs,Pittsburgh-Pirates,58.1%,-139,139,-175,155,36,16,$100,$155,$255,,,,,,,,,
7/8/2016,Los-Angeles-Angels,Baltimore-Orioles,-57.5%,135,-135,-105,-115,40,20,$100,$87,$0,$100,$87,$0,,,,,,
7/8/2016,Detroit-Tigers,Toronto-Blue-Jays,-53.7%,116,-116,155,-175,39,59,$100,$155,$0,,,,,,,,,
7/8/2016,New-York-Yankees,Cleveland-Indians,-57.7%,136,-136,160,-180,24,44,$100,$160,$0,,,,,,,,,
7/8/2016,Cincinnati-Reds,Miami-Marlins,-58.3%,140,-140,235,-275,95,135,$100,$235,$0,,,,,,,$100,$235,$0
7/8/2016,Tampa-Bay-Rays,Boston-Red-Sox,-58.0%,138,-138,-105,-115,43,23,$100,$87,$187,$100,$87,$187,,,,,,
7/8/2016,Washington-Nationals,New-York-Mets,-53.0%,113,-113,-110,-110,23,3,$100,$91,$0,$100,$91,$0,,,,,,
7/8/2016,Minnesota-Twins,Texas-Rangers,-60.8%,155,-155,180,-220,25,65,$100,$180,$0,,,,,,,,,
7/8/2016,Atlanta-Braves,Chicago-White-Sox,-58.4%,140,-140,255,-310,115,170,$100,$255,$355,,,,,,,$100,$255,$355
7/8/2016,Oakland-Athletics,Houston-Astros,-56.7%,131,-131,140,-160,9,29,$100,$140,$0,,,,,,,,,
7/8/2016,St.-Louis-Cardinals,Milwaukee-Brewers,57.4%,-135,135,-135,115,0,20,$100,$74.2,$0,$100,$74.2,$0,,,,,,
7/8/2016,Philadelphia-Phillies,Colorado-Rockies,-50.8%,103,-103,112,-132,9,29,$100,$112,$212,,,,,,,,,
7/8/2016,Seattle-Mariners,Kansas-City-Royals,-58.9%,143,-143,-105,-115,48,28,$100,$87,$0,$100,$87,$0,,,,,,
7/8/2016,San-Diego-Padres,Los-Angeles-Dodgers,-56.5%,130,-130,165,-190,35,60,$100,$165,$0,,,,,,,,,
7/8/2016,Arizona-Diamondbacks,San-Francisco-Giants,-58.4%,141,-141,135,-155,,,,,,,,,,,,,,
,,,,,,,,,,$1400,-$391,-27.9%,$500,-$313,-62.6%,$0,$0,0%,$200,$155,77.5%
7/9/2016,Arizona-Diamondbacks,San-Francisco-Giants,-58.80%,143,-143,120,-130,23,13,$100,$77,$177,$100,$77,$177,,,,,,
7/9/2016,Atlanta-Braves,Chicago-White-Sox,-58.00%,138,-138,162,-177,24,39,$100,$162,$0,,,,,,,,,
7/9/2016,Chicago-Cubs,Pittsburgh-Pirates,51.90%,-108,108,-160,145,52,37,$100,$145,$245,,,,,,,,,
7/9/2016,Cincinnati-Reds,Miami-Marlins,-58.80%,143,-143,163,-178,20,35,$100,$163,$0,,,,,,,,,
7/9/2016,Detroit-Tigers,Toronto-Blue-Jays,-54.80%,121,-121,220,-250,99,129,$100,$220,$320,,,,,,,$100,$220,$320
7/9/2016,Los-Angeles-Angels,Baltimore-Orioles,-56.90%,132,-132,116,-126,16,6,$100,$79.4,$179.4,$100,$79.4,$179.4,,,,,,
7/9/2016,Minnesota-Twins,Texas-Rangers,-61.20%,158,-158,115,-125,43,33,$100,$80,$0,$100,$80,$0,,,,,,
7/9/2016,New-York-Yankees,Cleveland-Indians,-58.50%,141,-141,160,-175,19,34,$100,$160,$260,,,,,,,,,
7/9/2016,Oakland-Athletics,Houston-Astros,-57%,132,-132,190,-220,58,88,$100,$190,$290,,,,,,,$100,$190,$290
7/9/2016,Philadelphia-Phillies,Colorado-Rockies,50.10%,-101,101,145,-160,46,61,$100,$145,$0,$100,$145,$0,$100,$145,$0,$100,$145,$0
7/9/2016,San-Diego-Padres,Los-Angeles-Dodgers,-57.20%,134,-134,190,-220,56,86,$100,$190,$0,,,,,,,$100,$190,$0
7/9/2016,Seattle-Mariners,Kansas-City-Royals,-57.30%,134,-134,111,-121,23,13,$100,$82.6,$182.6,$100,$82.6,$182.6,,,,,,
7/9/2016,St.-Louis-Cardinals,Milwaukee-Brewers,57.10%,-133,133,-153,138,20,5,$100,$138,$0,,,,,,,,,
7/9/2016,Tampa-Bay-Rays,Boston-Red-Sox,-58.10%,139,-139,170,-190,31,51,$100,$170,$0,,,,,,,,,
7/9/2016,Washington-Nationals,New-York-Mets,-51.70%,107,-107,-200,180,107,87,$100,$180,$0,$100,$180,$0,$100,$180,$0,$100,$180,$0
,,,,,,,,,,$1500,$154,10.3%,$600,-$61,-10.17%,$200,-$200,-100%,$500,$110,22%
7/10/2016,Arizona-Diamondbacks,San-Francisco-Giants,-59%,144,-144,225,-260,81,116,$100,$225,$0,,,,,,,$100,$225,$0
7/10/2016,Atlanta-Braves,Chicago-White-Sox,-58.20%,139,-139,150,-165,11,26,$100,$150,$250,,,,,,,,,
7/10/2016,Chicago-Cubs,Pittsburgh-Pirates,-50.40%,102,-102,-144,134,46,36,$100,$134,$0,$100,$134,$0,$100,$134,$0,,,
7/10/2016,Cincinnati-Reds,Miami-Marlins,-59.30%,146,-146,138,-153,,,,,,,,,,,,,,
7/10/2016,Detroit-Tigers,Toronto-Blue-Jays,-54.10%,118,-118,130,-140,12,22,$100,$130,$0,,,,,,,,,
7/10/2016,Los-Angeles-Angels,Baltimore-Orioles,-57.50%,135,-135,172,-192,37,57,$100,$172,$0,,,,,,,,,
7/10/2016,Minnesota-Twins,Texas-Rangers,-60.80%,155,-155,145,-160,,,,,,,,,,,,,,
7/10/2016,New-York-Yankees,Cleveland-Indians,-58%,138,-138,123,-133,15,5,$100,$75.2,$0,$100,$75.2,$0,,,,,,
7/10/2016,Oakland-Athletics,Houston-Astros,-56.60%,131,-131,185,-210,54,79,$100,$185,$0,,,,,,,$100,$185,$0
7/10/2016,Philadelphia-Phillies,Colorado-Rockies,-51.60%,107,-107,165,-185,58,78,$100,$165,$265,,,,,,,$100,$165,$265
7/10/2016,San-Diego-Padres,Los-Angeles-Dodgers,-57.70%,136,-136,190,-220,54,84,$100,$190,$0,,,,,,,$100,$190,$0
7/10/2016,Seattle-Mariners,Kansas-City-Royals,-57.70%,136,-136,-119,109,55,45,$100,$109,$0,$100,$109,$0,$100,$109,$0,$100,$109,$0
7/10/2016,St.-Louis-Cardinals,Milwaukee-Brewers,57.60%,-136,136,120,-130,56,66,$100,$120,$220,$100,$120,$220,$100,$120,$220,$100,$120,$220
7/10/2016,Tampa-Bay-Rays,Boston-Red-Sox,-60.10%,151,-151,205,-235,54,84,$100,$205,$0,,,,,,,$100,$205,$0
7/10/2016,Washington-Nationals,New-York-Mets,51%,-104,104,-108,-102,,,,,,,,,,,,,,
,,,,,,,,,,$1200,-$465,-38.8%,$400,-$180,-45%,$300,-$80,-26.67%,$700,-$215,-30.7%
7/15/2016,Baltimore-Orioles,Tampa-Bay-Rays,58.60%,-142,142,118,-138,60,80,$100,$118,$218,$100,$118,$218,$100,$118,$218,$100,$118,$218
