date,away_team,home_team,algo_proj,away_proj,home_proj,away_odds,home_odds,diff_away,diff_home,strat_00_bet,strat_00_to_win,strat_00_won,strat_01_bet,strat_01_to_win,strat_01_won,strat_1_bet,strat_1_to_win,strat_1_won,strat_2_bet,strat_2_to_win,strat_2_won,strat_3_bet,strat_3_to_win,strat_3_won,strat_4_bet,strat_4_to_win,strat_4_won
7/7/2009,new-york-yankees,minnesota-twins,52.91%,-112,112,-133,114,21,2,$100,$75.19,$175.19,$100,$75.19,$175.19,$100,$114.00,$0,,,,,,,,,
7/7/2009,toronto-blue-jays,tampa-bay-rays,-56.18%,128,-128,-103,-113,31,15,$100,$88.50,$188.50,$100,$88.50,$188.50,$100,$88.50,$188.50,$100,$88.50,$188.50,,,,,,
,,,,,,,,,,$1100,-$127.87,-11.62%,$1100,$62.22,5.66%,$800,-$363.50,-45.44%,$200,-$11.50,-5.75%,$0,$0.00,0%,$200,-$200.00,-100.00%
7/8/2009,san-diego-padres,arizona-diamondbacks,-53.70%,116,-116,139,-166,23,50,$100,$60.24,$160.24,$100,$60.24,$160.24,$100,$139.00,$0,,,,,,,,,
7/8/2009,atlanta-braves,chicago-cubs,-55.06%,123,-123,104,-125,19,2,$100,$80.00,$0,$100,$80.00,$0,,,,,,,,,,,,
7/8/2009,baltimore-orioles,seattle-mariners,-57.68%,136,-136,106,-125,30,11,$100,$80.00,$0,$100,$80.00,$0,$100,$80.00,$0,$100,$80.00,$0,,,,,,
7/8/2009,oakland-athletics,boston-red-sox,-59.13%,145,-145,152,-185,7,40,$100,$54.05,$154.05,$100,$54.05,$154.05,$100,$152.00,$0,,,,,,,,,
7/8/2009,cleveland-indians,chicago-white-sox,-55.43%,124,-124,129,-151,5,27,$100,$66.23,$166.23,$100,$66.23,$166.23,$100,$129.00,$0,,,,,,,,,
7/8/2009,cincinnati-reds,philadelphia-phillies,-56.58%,130,-130,125,-149,5,19,$100,$67.11,$167.11,$100,$67.11,$167.11,,,,,,,,,,,,
7/8/2009,kansas-city-royals,detroit-tigers,-57.94%,138,-138,-136,116,74,54,$100,$116.00,$216.00,$100,$73.53,$0,$100,$116.00,$216.00,$100,$116.00,$216.00,$100,$116.00,$216.00,$100,$116.00,$216.00
7/8/2009,pittsburgh-pirates,houston-astros,-53.61%,116,-116,146,-169,30,53,$100,$59.17,$159.17,$100,$59.17,$159.17,$100,$146.00,$0,,,,,,,,,
7/8/2009,texas-rangers,los-angeles-angels,-52.00%,108,-108,122,-142,14,34,$100,$70.42,$0,$100,$70.42,$0,$100,$122.00,$222.00,,,,,,,,,
7/8/2009,new-york-yankees,minnesota-twins,53.97%,-117,117,-156,131,39,14,$100,$64.10,$164.10,$100,$64.10,$164.10,$100,$131.00,$0,,,,,,,,,
7/8/2009,toronto-blue-jays,tampa-bay-rays,-57.68%,136,-136,139,-163,3,27,$100,$61.35,$161.35,$100,$61.35,$161.35,$100,$139.00,$0,,,,,,,,,
,,,,,,,,,,$1100,$248.26,22.57%,$1100,$32.26,2.93%,$900,-$462.00,-51.33%,$200,$16.00,8.00%,$100,$116.00,116.00%,$100,$116.00,116.00%
7/9/2009,atlanta-braves,colorado-rockies,-53.94%,117,-117,114,-133,3,16,$100,$75.19,$175.19,$100,$75.19,$175.19,,,,,,,,,,,,
7/9/2009,kansas-city-royals,boston-red-sox,-60.09%,151,-151,177,-208,26,57,$100,$48.08,$0,$100,$48.08,$0,$100,$177.00,$277.00,,,,,,,,,
7/9/2009,cleveland-indians,chicago-white-sox,-57.44%,135,-135,106,-126,29,9,$100,$79.37,$0,$100,$79.37,$0,$100,$79.37,$0,$100,$79.37,$0,,,,,,
7/9/2009,cincinnati-reds,philadelphia-phillies,-56.13%,128,-128,136,-156,8,28,$100,$64.10,$164.10,$100,$64.10,$164.10,$100,$136.00,$0,,,,,,,,,
7/9/2009,new-york-yankees,minnesota-twins,54.28%,-119,119,-104,-108,15,27,$100,$96.15,$196.15,$100,$92.59,$0,$100,$96.15,$196.15,$100,$96.15,$196.15,,,,,,
7/9/2009,san-diego-padres,san-francisco-giants,-60.87%,156,-156,234,-285,78,129,$100,$35.09,$135.09,$100,$35.09,$135.09,$100,$234.00,$0,,,,,,,$100,$234.00,$0
7/9/2009,texas-rangers,seattle-mariners,54.13%,-118,118,152,-181,70,99,$100,$152.00,$0,$100,$55.25,$155.25,$100,$152.00,$0,$100,$152.00,$0,$100,$152.00,$0,$100,$152.00,$0
7/9/2009,toronto-blue-jays,tampa-bay-rays,-59.28%,146,-146,-125,106,71,52,$100,$106.00,$206.00,$100,$80.00,$0,$100,$106.00,$206.00,$100,$106.00,$206.00,$100,$106.00,$206.00,$100,$106.00,$206.00
,,,,,,,,,,$800,$76.53,9.57%,$800,-$170.37,-21.30%,$700,-$20.85,-2.98%,$400,$2.15,0.54%,$200,$6.00,3.00%,$300,-$94.00,-31.33%
7/10/2009,atlanta-braves,colorado-rockies,-54.98%,122,-122,129,-149,7,27,$100,$67.11,$0,$100,$67.11,$0,$100,$129.00,$229.00,,,,,,,,,
7/10/2009,toronto-blue-jays,baltimore-orioles,51.18%,-105,105,-111,-108,6,13,$100,$90.09,$190.09,$100,$90.09,$190.09,,,,,,,,,,,,
7/10/2009,kansas-city-royals,boston-red-sox,-59.62%,148,-148,221,-256,73,108,$100,$39.06,$139.06,$100,$39.06,$139.06,$100,$221.00,$0,,,,,,,$100,$221.00,$0
7/10/2009,cincinnati-reds,new-york-mets,51.54%,-106,106,-102,-119,4,25,$100,$98.04,$198.04,$100,$84.03,$0,$100,$98.04,$198.04,$100,$98.04,$198.04,,,,,,
7/10/2009,cleveland-indians,detroit-tigers,-59.81%,149,-149,123,-144,26,5,$100,$69.44,$169.44,$100,$69.44,$169.44,$100,$69.44,$169.44,$100,$69.44,$169.44,,,,,,
7/10/2009,new-york-yankees,los-angeles-angels,53.80%,-116,116,-129,110,13,6,$100,$77.52,$0,$100,$77.52,$0,,,,,,,,,,,,
7/10/2009,oakland-athletics,tampa-bay-rays,-59.73%,148,-148,141,-166,7,18,$100,$60.24,$160.24,$100,$60.24,$160.24,,,,,,,,,,,,
