date,away_team,home_team,algo_proj,away_proj,home_proj,away_odds,home_odds,diff_away,diff_home,strat_00_bet,strat_00_to_win,strat_00_won,strat_01_bet,strat_01_to_win,strat_01_won,strat_1_bet,strat_1_to_win,strat_1_won,strat_2_bet,strat_2_to_win,strat_2_won,strat_3_bet,strat_3_to_win,strat_3_won,strat_4_bet,strat_4_to_win,strat_4_won
1/26/2011,oklahoma-city-thunder,minnesota-timberwolves,69.98%,-233,233,-243,192,10,41,$100,$41.15,$141.15,$100,$41.15,$141.15,,,,,,,,,,,,
1/26/2011,philadelphia-76ers,toronto-raptors,53.28%,-114,114,-169,141,55,27,$100,$59.17,$159.17,$100,$59.17,$159.17,$100,$141.00,$0,,,,,,,,,
1/26/2011,san-antonio-spurs,utah-jazz,68.14%,-214,214,-172,139,42,75,$100,$58.14,$158.14,$100,$58.14,$158.14,$100,$58.14,$158.14,$100,$58.14,$158.14,,,,,,
,,,,,,,,,,$1000,$80.78,8.08%,$1000,$80.78,8.08%,$800,-$122.86,-15.36%,$400,-$61.86,-15.47%,$0,$0.00,0%,$100,-$100.00,-100.00%
1/27/2011,boston-celtics,portland-trail-blazers,64.87%,-185,185,-217,175,32,10,$100,$46.08,$146.08,$100,$46.08,$146.08,,,,,,,,,,,,
1/27/2011,houston-rockets,dallas-mavericks,-53.11%,113,-113,237,-303,124,190,$100,$33.00,$133.00,$100,$33.00,$133.00,$100,$237.00,$0,,,,,,,$100,$237.00,$0
1/27/2011,miami-heat,new-york-knicks,63.86%,-177,177,-166,139,11,38,$100,$60.24,$0,$100,$60.24,$0,$100,$60.24,$0,$100,$60.24,$0,,,,,,
,,,,,,,,,,$300,-$20.91,-6.97%,$300,-$20.91,-6.97%,$200,-$200.00,-100.00%,$100,-$100.00,-100.00%,$0,$0.00,0%,$100,-$100.00,-100.00%
1/28/2011,new-york-knicks,atlanta-hawks,-67.89%,211,-211,243,-312,32,101,$100,$32.05,$132.05,$100,$32.05,$132.05,$100,$243.00,$0,,,,,,,,,
1/28/2011,boston-celtics,phoenix-suns,70.93%,-244,244,-196,160,48,84,$100,$51.02,$0,$100,$51.02,$0,$100,$51.02,$0,$100,$51.02,$0,,,,,,
1/28/2011,charlotte-hornets,golden-state-warriors,-62.51%,167,-167,152,-188,15,21,$100,$53.19,$0,$100,$53.19,$0,,,,,,,,,,,,
